2025-10-04T04:00:21.970081Z		
2025-10-04T04:00:20.983074Z		vertex.proxy.request
2025-10-04T04:00:20.982843Z		vertex.proxy.call
2025-10-04T04:00:20.971299Z		
2025-10-04T03:52:12.512929Z		vertex.proxy.success
2025-10-04T03:51:40.639596Z		vertex.proxy.request
2025-10-04T03:51:40.639399Z		vertex.proxy.call
2025-10-04T03:51:40.626751Z		
2025-10-04T03:51:21.907712Z		vertex.proxy.success
2025-10-04T03:50:46.221237Z		vertex.proxy.success
2025-10-04T03:50:45.044996Z		vertex.proxy.request
2025-10-04T03:50:45.044862Z		vertex.proxy.call
2025-10-04T03:50:45.041047Z		
2025-10-04T03:50:38.223424Z		vertex.proxy.success
2025-10-04T03:50:37.929810Z		vertex.proxy.request
2025-10-04T03:50:37.929707Z		vertex.proxy.call
2025-10-04T03:50:37.925831Z		
2025-10-04T03:50:29.977230Z		vertex.proxy.success
2025-10-04T03:50:29.531152Z		vertex.proxy.request
2025-10-04T03:50:29.531003Z		vertex.proxy.call
2025-10-04T03:50:29.527347Z		
2025-10-04T03:50:27.961814Z		vertex.proxy.request
2025-10-04T03:50:27.961796Z		vertex.proxy.call
2025-10-04T03:50:27.945073Z		
2025-10-04T03:47:40.547543Z		vertex.proxy.success
2025-10-04T03:47:39.280838Z		vertex.proxy.success
2025-10-04T03:46:55.831989Z		vertex.proxy.request
2025-10-04T03:46:55.831634Z		vertex.proxy.call
2025-10-04T03:46:55.826300Z		
2025-10-04T03:46:53.939489Z		vertex.proxy.request
2025-10-04T03:46:53.939160Z		vertex.proxy.call
2025-10-04T03:46:53.926091Z		
2025-10-04T03:46:10.178559Z		vertex.proxy.success
2025-10-04T03:45:32.842472Z		vertex.proxy.request
2025-10-04T03:45:32.841842Z		vertex.proxy.call
2025-10-04T03:45:32.827871Z		
2025-10-04T03:38:19.860078Z		vertex.proxy.success
2025-10-04T03:38:17.029333Z		vertex.proxy.request
2025-10-04T03:38:16.980240Z		vertex.proxy.call
2025-10-04T03:38:16.890172Z		vertex.proxy.started
2025-10-04T03:38:16.888524Z	Default STARTUP TCP probe succeeded after 1 attempt for container "vertex-proxy-1" on port 8080.	
